Anime Name,Most Watched in Country,Ratings,Number of Episodes,Animation Studio Name,Budget (in Million USD),Release Year,Genre,Duration per Episode (minutes)
,South Korea,7.4,419.0,A-1 Pictures,59.05,2009.0,Mystery,56.0
,Spain,8.7,184.0,A-1 Pictures,53.88,2007.0,Mystery,39.0
,Italy,10.0,103.0,Bones,141.98,,Mystery,30.0
,Germany,9.9,191.0,Bones,133.89,2012.0,Sci-Fi,55.0
,Argentina,7.9,282.0,Toei Animation,35.75,2008.0,Mystery,52.0
,United Kingdom,8.9,16.0,MAPPA,72.77,2021.0,Fantasy,21.0
,Malaysia,8.6,319.0,Trigger,111.89,,Thriller,49.0
,Argentina,9.7,133.0,Bones,143.85,1991.0,Thriller,23.0
,Canada,7.3,59.0,Studio Ghibli,58.85,2005.0,Sci-Fi,
,Argentina,8.2,384.0,Madhouse,39.73,2014.0,,52.0
